Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
0.24	0.53	4751.24	4751.53		T
1.625	3.125	4752.625	4754.125		
1.697	1.86	4752.697	4752.86		T
2.039	2.3	4753.039	4753.3		T
2.335	3.231	4753.335	4754.231		T
3.516	4.707	4754.516	4755.707		T
5.17	5.66	4756.17	4756.66	X	
5.818	6.495	4756.818	4757.495		T
7.312	8.114	4758.312	4759.114		T
9.521	10.475	4760.521	4761.475		T
10.578	11.489	4761.578	4762.489		T
11.585	13.755	4762.585	4764.755	C	
13.653	16.174	4764.653	4767.174		T
16.87	18.24	4767.87	4769.24	C	
18.594	19.891	4769.594	4770.891		T
19.891	21.144	4770.891	4772.144		T
21.899	22.244	4772.899	4773.244		T
22.581	23.288	4773.581	4774.288		T
24.261	24.908	4775.261	4775.908		T
26.075	26.51	4777.075	4777.51		T
28.235	28.905	4779.235	4779.905		T
29.442	29.77	4780.442	4780.77		T
29.775	31.285	4780.775	4782.285	C	
29.816	30.14	4780.816	4781.14		T
31.753	32.993	4782.753	4783.993		T
35.26	36.096	4786.26	4787.096		N
38.962	40.436	4789.962	4791.436		T
40.503	40.735	4791.503	4791.735		T
40.925	41.966	4791.925	4792.966		T
42.869	43.069	4793.869	4794.069		T
44.94	45.216	4795.94	4796.216		N
46.225	47.225	4797.225	4798.225		T
46.327	46.622	4797.327	4797.622		T
46.7	47.088	4797.7	4798.088		T
48.172	48.752	4799.172	4799.752		T
51.925	53.025	4802.925	4804.025		T
54.065	54.264	4805.065	4805.264		T
54.318	54.488	4805.318	4805.488		T
56.4	56.902	4807.4	4807.902		T
58.378	58.609	4809.378	4809.609		T
58.876	59.143	4809.876	4810.143		T
60.622	61.13	4811.622	4812.13		T
62.04	62.545	4813.04	4813.545		T
63.558	63.846	4814.558	4814.846		T
65.046	65.465	4816.046	4816.465		T
65.8	66.51	4816.8	4817.51	X	
66.579	67.354	4817.579	4818.354		T
68.905	69.595	4819.905	4820.595	X	
69.051	69.684	4820.051	4820.684		T
69.974	70.07	4820.974	4821.07		T
70.21	70.304	4821.21	4821.304		T
70.381	70.619	4821.381	4821.619		T
70.7	70.889	4821.7	4821.889		T
70.88	71.53	4821.88	4822.53	X	
71.718	72.467	4822.718	4823.467		T
72.674	73.626	4823.674	4824.626		T
73.695	75.007	4824.695	4826.007		T
