Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
1.801	3.322	29434.801	29436.322	X	
4.148	6.148	29437.148	29439.148	X	
7.032	9.467	29440.032	29442.467	X	
10.233	12.222	29443.233	29445.222	X	
13.6	15.154	29446.6	29448.154	X	
16.272	17.663	29449.272	29450.663	X	
23.18	25.082	29456.18	29458.082	X	
25.828	27.382	29458.828	29460.382	X	
28.443	30.084	29461.443	29463.084	X	
31.275	32.09	29464.275	29465.09	X	
62.265	64.004	29495.265	29497.004	X	
64.683	65.661	29497.683	29498.661	X	
66.666	68.069	29499.666	29501.069	X	
69.86	71.11	29502.86	29504.11	X	
71.595	73.16	29504.595	29506.16	X	
73.831	74.266	29506.831	29507.266	X	
87.822	89.148	29520.822	29522.148	X	
91.072	91.985	29524.072	29524.985	X	
93.609	94.718	29526.609	29527.718	X	
95.725	96.606	29528.725	29529.606	X	
98.807	101.144	29531.807	29534.144	X	
101.817	103.067	29534.817	29536.067	X	
104.208	105.339	29537.208	29538.339	X	
116.39	117.901	29549.39	29550.901	X	
118.574	119.378	29551.574	29552.378	X	
120.753	121.069	29553.753	29554.069	X	
130.014	130.362	29563.014	29563.362	X	
131.019	131.345	29564.019	29564.345	X	
133.015	133.341	29566.015	29566.341	X	
134.021	136.195	29567.021	29569.195	X	
136.769	137.051	29569.769	29570.051	X	
137.383	138.013	29570.383	29571.013	X	
138.603	138.874	29571.603	29571.874	X	
139.243	140.069	29572.243	29573.069	X	
141.831	142.157	29574.831	29575.157	X	
143.119	144.434	29576.119	29577.434	X	
145.259	147.009	29578.259	29580.009	X	
148.638	148.942	29581.638	29581.942	X	
151.056	154.676	29584.056	29587.676	X	
155.197	156.839	29588.197	29589.839	X	
163.649	165.746	29596.649	29598.746	X	
166.572	167.398	29599.572	29600.398	X	
169.096	170.139	29602.096	29603.139	X	
171.47	172.1	29604.47	29605.1	X	
172.801	173.388	29605.801	29606.388	X	
177.329	178.101	29610.329	29611.101	X	
178.514	178.699	29611.514	29611.699	X	
179.394	179.709	29612.394	29612.709	X	
180.198	180.415	29613.198	29613.415	X	
181.429	183.212	29614.429	29616.212	X	
183.825	184.651	29616.825	29617.651	X	
190.316	191.827	29623.316	29624.827	X	
192.35	192.589	29625.35	29625.589	X	
193.707	195.218	29626.707	29628.218	X	
196.48	197.937	29629.48	29630.937	X	
199.007	199.898	29632.007	29632.898	X	
210.405	210.579	29643.405	29643.579	X	
211.041	211.323	29644.041	29644.323	X	
212.003	212.231	29645.003	29645.231	X	
212.753	213.024	29645.753	29646.024	X	
213.426	214.241	29646.426	29647.241	X	
214.784	215.045	29647.784	29648.045	X	
216.256	219.626	29649.256	29652.626	X	
220.198	220.481	29653.198	29653.481	X	
221.464	221.768	29654.464	29654.768	X	
222.73	223.013	29655.73	29656.013	X	
224.192	224.42	29657.192	29657.42	X	
225.779	225.953	29658.779	29658.953	X	
230.59	230.83	29663.59	29663.83	X	
232.063	232.302	29665.063	29665.302	X	
232.992	233.307	29665.992	29666.307	X	
233.709	235.339	29666.709	29668.339	X	
236.433	237.477	29669.433	29670.477	X	
238.495	241.267	29671.495	29674.267	X	
242.202	245.321	29675.202	29678.321	X	
245.981	248.036	29678.981	29681.036	X	
248.752	250.687	29681.752	29683.687	X	
251.344	252.844	29684.344	29685.844	X	
254.05	255.473	29687.05	29688.473	X	
256.516	257.603	29689.516	29690.603	X	
258.54	260.03	29691.54	29693.03	X	
261.421	264.171	29694.421	29697.171	X	
266.031	267.857	29699.031	29700.857	X	
269.329	272.351	29702.329	29705.351	X	
273.136	275.571	29706.136	29708.571	X	
276.258	277.411	29709.258	29710.411	X	
278.823	281.127	29711.823	29714.127	X	
282.069	284.602	29715.069	29717.602	X	
285.629	287.498	29718.629	29720.498	X	
288.515	290.297	29721.515	29723.297	X	
291.803	293.172	29724.803	29726.172	X	
