Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
-0.079	0.265	9850.921	9851.265		T
2.006	2.145	9853.006	9853.145		T
2.172	2.858	9853.172	9853.858		T
3.911	4.318	9854.911	9855.318	X	
4.084	4.329	9855.084	9855.329		T
4.367	4.712	9855.367	9855.712		T
5.42	6.057	9856.42	9857.057		T
7.186	7.863	9858.186	9858.863		T
9.3	11.068	9860.3	9862.068	 	T 
11.844	12.351	9862.844	9863.351		T
12.405	13.095	9863.405	9864.095		T
13.026	13.513	9864.026	9864.513	C	
13.806	14.214	9864.806	9865.214		T
14.248	15.163	9865.248	9866.163		T
15.199	15.582	9866.199	9866.582		T
15.668	16.078	9866.668	9867.078		T
17.672	18.124	9868.672	9869.124	X	
20.416	21	9871.416	9872	X	
21.559	21.848	9872.559	9872.848		T
23.001	23.069	9874.001	9874.069		T
23.15	23.224	9874.15	9874.224		T
23.244	23.371	9874.244	9874.371		T
23.439	23.721	9874.439	9874.721		T
23.796	24.169	9874.796	9875.169	 	T 
24.376	24.887	9875.376	9875.887		T
25.27	26.399	9876.27	9877.399		T
26.522	27.823	9877.522	9878.823	C	
27.813	28.239	9878.813	9879.239		T
28.277	29.091	9879.277	9880.091		T
30.173	30.547	9881.173	9881.547		T
30.92	31.467	9881.92	9882.467		T
31.502	32.024	9882.502	9883.024		T
32.292	33.549	9883.292	9884.549	C	
33.252	34.121	9884.252	9885.121		T
34.237	34.656	9885.237	9885.656		T
34.726	35.492	9885.726	9886.492		T
35.677	36.75	9886.677	9887.75		T
37.243	37.433	9888.243	9888.433		T
37.809	38.35	9888.809	9889.35		T
39.646	41.354	9890.646	9892.354	C	
41.41	42.024	9892.41	9893.024		T
42.074	42.546	9893.074	9893.546		T
42.849	44.008	9893.849	9895.008	C	
43.543	44.97	9894.543	9895.97		T
45.02	45.232	9896.02	9896.232		T
46.293	46.756	9897.293	9897.756		T
46.79	46.967	9897.79	9897.967		T
47.682	48.912	9898.682	9899.912	C	
49.083	50.087	9900.083	9901.087		T
50.126	50.871	9901.126	9901.871		T
53.195	53.506	9904.195	9904.506		T
55.528	57.131	9906.528	9908.131		T
59.148	60.619	9910.148	9911.619		T
60.885	61.779	9911.885	9912.779	C	
61.965	63	9912.965	9914		T
63.36	63.713	9914.36	9914.713		T
63.713	63.721	9914.713	9914.721		T
63.721	64.716	9914.721	9915.716		T
64.923	65.111	9915.923	9916.111		T
66.108	67.219	9917.108	9918.219		T
66.761	67.469	9917.761	9918.469	R	
67.951	68.472	9918.951	9919.472		T
69.336	69.566	9920.336	9920.566	C	
69.951	71.751	9920.951	9922.751		T
71.938	72.345	9922.938	9923.345	X	
72.771	73.374	9923.771	9924.374		T
73.545	87.208	9924.545	9938.208		T
73.805	74.504	9924.805	9925.504	C	
74.831	75.77	9925.831	9926.77	X	
76.46	77.92	9927.46	9928.92	C	
80.806	81.735	9931.806	9932.735	C	
84.071	85.071	9935.071	9936.071	C	
86.159	86.955	9937.159	9937.955	X	
87.522	87.761	9938.522	9938.761	X	
88.386	90.426	9939.386	9941.426		T
90.746	93.713	9941.746	9944.713		T
92.186	93.053	9943.186	9944.053	C	
93.894	95.38	9944.894	9946.38	C	
94.621	97.117	9945.621	9948.117		T
98.253	102.158	9949.253	9953.158		T
102.991	104.186	9953.991	9955.186		N
105.221	106.177	9956.221	9957.177	X	
106.611	108.469	9957.611	9959.469	X	
106.736	108.034	9957.736	9959.034		N
108.771	110.156	9959.771	9961.156		N
110.354	111.097	9961.354	9962.097	X	
111.236	117.129	9962.236	9968.129		T
117.201	118.926	9968.201	9969.926		N
119.471	119.829	9970.471	9970.829		T
120.401	121.902	9971.401	9972.902		N
123.733	126.833	9974.733	9977.833		N 
127.853	128.788	9978.853	9979.788		N
129.567	130.805	9980.567	9981.805	C	
131.186	134.559	9982.186	9985.559		T
134.805	136.054	9985.805	9987.054		N
134.982	135.841	9985.982	9986.841	X	
136.13	136.449	9987.13	9987.449		T
136.738	137.968	9987.738	9988.968		T
137.77	139.159	9988.77	9990.159	C	
139.975	141.058	9990.975	9992.058		T
144.468	145.884	9995.468	9996.884		T
145.902	146.964	9996.902	9997.964	C	
146.988	148.501	9997.988	9999.501		T
149.222	151.62	10000.222	10002.62	X	
151.811	154.518	10002.811	10005.518		N
153.115	155.451	10004.115	10006.451	C	
154.921	155.487	10005.921	10006.487		T
155.59	156.868	10006.59	10007.868		T
157.246	158.279	10008.246	10009.279		T
157.708	161.008	10008.708	10012.008	X	
159.5	162.12	10010.5	10013.12		T
162.581	163.94	10013.581	10014.94		T
164.7	164.957	10015.7	10015.957		T
165.258	166.49	10016.258	10017.49		T
166.746	168.466	10017.746	10019.466		T
168.521	169.19	10019.521	10020.19		N
170.303	172.55	10021.303	10023.55		N
172.787	174.363	10023.787	10025.363	C	
174.205	176.49	10025.205	10027.49		T
175.973	177.876	10026.973	10028.876	C	
178.666	182.089	10029.666	10033.089		T
179.079	180.026	10030.079	10031.026	X	
182.239	183.947	10033.239	10034.947	C	
184.911	186.398	10035.911	10037.398	C	
185.226	187.186	10036.226	10038.186		N
186.54	187.212	10037.54	10038.212	X	
188.661	189.902	10039.661	10040.902		N
189.956	191.307	10040.956	10042.307		T
191.93	193.141	10042.93	10044.141		T
193.133	194.319	10044.133	10045.319	C	
193.889	195.65	10044.889	10046.65		T
196.38	196.982	10047.38	10047.982	X	
197.77	198.808	10048.77	10049.808		N
200.095	201.549	10051.095	10052.549		N
202.783	204.334	10053.783	10055.334		T
204.75	205.083	10055.75	10056.083		N
205.856	207.826	10056.856	10058.826		N
208.203	209.442	10059.203	10060.442	C	
209.59	213.625	10060.59	10064.625		T
212.407	213.566	10063.407	10064.566	C	
214.024	215.944	10065.024	10066.944		T
215.655	216.859	10066.655	10067.859	C	
217.621	218.588	10068.621	10069.588		T
218.891	219.183	10069.891	10070.183		N
221.425	222.376	10072.425	10073.376		N
222.926	223.646	10073.926	10074.646		N
226.673	228.318	10077.673	10079.318		T
243.23	244.132	10094.23	10095.132	C	
244.204	9.3	10095.204	9860.3		
244.204	245.325	10095.204	10096.325		T
245.503	247.148	10096.503	10098.148		T
249.362	250.584	10100.362	10101.584	C	
255.876	257.672	10106.876	10108.672	C	
258.938	260.434	10109.938	10111.434	X	
263.008	264.902	10114.008	10115.902	C	
274.947	275.292	10125.947	10126.292	C	
278.593	279.566	10129.593	10130.566	C	
281.195	281.487	10132.195	10132.487	X	
281.947	283.088	10132.947	10134.088	C	
