Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
27.5	28.23	20303.5	20304.23	X	
29.63	30.41	20305.63	20306.41	C	
33.86	35.36	20309.86	20311.36	X	
48.85	52.96	20324.85	20328.96	R	
64.956	65.296	20340.956	20341.296		T
65.37	65.98	20341.37	20341.98	X	
66.27	66.913	20342.27	20342.913		T 
67.49	68.51	20343.49	20344.51		T
69.08	70.7	20345.08	20346.7	C	
70.988	72.153	20346.988	20348.153		T
112.139	114.089	20388.139	20390.089		T
116.69	116.98	20392.69	20392.98	C	
117.89	118.18	20393.89	20394.18	C	
118.7	118.99	20394.7	20394.99	C	
119.43	119.74	20395.43	20395.74	C	
120.71	121.03	20396.71	20397.03	C	
124.981	125.524	20400.981	20401.524		N
125.94	126.07	20401.94	20402.07	X	
126.49	127.11	20402.49	20403.11	X	
127.39	127.76	20403.39	20403.76	X	
131.395	132.274	20407.395	20408.274		N
132.395	134.637	20408.395	20410.637		N
137.306	138.002	20413.306	20414.002		T
139.19	139.44	20415.19	20415.44	X	
141.62	142.25	20417.62	20418.25	X	
143.51	144.1	20419.51	20420.1	C	
144.764	145.005	20420.764	20421.005		N
147.81	148.32	20423.81	20424.32	X	
151.36	151.55	20427.36	20427.55	X	
152.56	154.39	20428.56	20430.39	R	
154.99	156.16	20430.99	20432.16	X	
156.39	157.12	20432.39	20433.12	X	
157.62	159.17	20433.62	20435.17	X	
169.4	171.51	20445.4	20447.51	R	
171.9	173.65	20447.9	20449.65	X	
174.69	175.22	20450.69	20451.22	X	
180.01	180.69	20456.01	20456.69	V	
181.41	182.86	20457.41	20458.86	X	
189.671	190.181	20465.671	20466.181		N
190.476	191.188	20466.476	20467.188		N
191.409	191.886	20467.409	20467.886		N
202.48	203.09	20478.48	20479.09	X	
203.81	204.95	20479.81	20480.95	X	
205.34	205.95	20481.34	20481.95	X	
208.27	208.93	20484.27	20484.93	C	
209.51	210.08	20485.51	20486.08	X	
210.39	211.15	20486.39	20487.15	X	
211.66	212.12	20487.66	20488.12	X	
212.87	213.64	20488.87	20489.64	X	
213.82	214.15	20489.82	20490.15	X	
214.53	215.46	20490.53	20491.46	X	
216.41	216.61	20492.41	20492.61	C	
218.31	218.66	20494.31	20494.66	C	
219.13	219.36	20495.13	20495.36	C	
219.71	220.05	20495.71	20496.05	C	
220.27	220.65	20496.27	20496.65	C	
221.25	221.59	20497.25	20497.59	X	
221.85	222.51	20497.85	20498.51	X	
223.32	223.73	20499.32	20499.73	X	
224.44	224.76	20500.44	20500.76	C	
252.92	253.97	20528.92	20529.97	X	
254.23	255.17	20530.23	20531.17	X	
288.05	288.36	20564.05	20564.36	X	
288.7	289.06	20564.7	20565.06	X	
289.75	290.53	20565.75	20566.53	X	
