Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
1.093	2.893	10834.093	10835.893		N
3.293	3.793	10836.293	10836.793		N
3.3	3.62	10836.3	10836.62	X	
4.193	5.193	10837.193	10838.193		N
5.393	6.393	10838.393	10839.393		N
7.193	8.493	10840.193	10841.493		N
8.493	9.093	10841.493	10842.093		N
9.993	13.893	10842.993	10846.893		N
14.793	15.793	10847.793	10848.793		N
17.093	17.893	10850.093	10850.893		N
18.393	19.228	10851.393	10852.228	X	
18.693	19.993	10851.693	10852.993		N
21.593	22.093	10854.593	10855.093		N
22.293	23.293	10855.293	10856.293		N
23.493	25.193	10856.493	10858.193		N
25.748	25.918	10858.748	10858.918	X	
27.393	27.793	10860.393	10860.793		N
28.393	31.893	10861.393	10864.893		N
32.593	36.493	10865.593	10869.493		N
33.801	34.866	10866.801	10867.866	X	
35.876	36.601	10868.876	10869.601	X	
37.093	39.393	10870.093	10872.393		N
38.371	38.556	10871.371	10871.556	X	
40.393	41.093	10873.393	10874.093		N
49.261	49.601	10882.261	10882.601	X	
54.593	56.593	10887.593	10889.593		N
57.593	62.593	10890.593	10895.593		N
58.769	59.529	10891.769	10892.529	R	
61.467	62.442	10894.467	10895.442	X	
62.993	64.493	10895.993	10897.493		T
64.793	66.793	10897.793	10899.793		T
70.317	70.467	10903.317	10903.467	X	
70.693	71.993	10903.693	10904.993		N
72.293	73.593	10905.293	10906.593		N
72.47	72.845	10905.47	10905.845	X	
73.787	74.084	10906.787	10907.084		N
73.83	73.955	10906.83	10906.955	X	
74.259	77.606	10907.259	10910.606		N
77.7	78.3	10910.7	10911.3		N
78.6	82.2	10911.6	10915.2		N
81.4	82.2	10914.4	10915.2	X	
82.5	83	10915.5	10916		N
83.3	85.2	10916.3	10918.2		N
83.763	85.968	10916.763	10918.968	X	
86.1	89.6	10919.1	10922.6		N
90.2	92.2	10923.2	10925.2		N
92.338	92.643	10925.338	10925.643	X	
93.1	97.3	10926.1	10930.3		N
97.9	99.9	10930.9	10932.9		N
97.958	98.298	10930.958	10931.298	X	
100.3	102.1	10933.3	10935.1		N
102.6	104	10935.6	10937		N
102.726	104.996	10935.726	10937.996	X	
105.3	106	10938.3	10939		N
105.854	106.144	10938.854	10939.144	X	
107	109.1	10940	10942.1		N
109.259	109.674	10942.259	10942.674	X	
109.8	113.7	10942.8	10946.7		N
111.389	111.684	10944.389	10944.684	X	
114	115.5	10947	10948.5		N
115.9	117.7	10948.9	10950.7		N
