Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
4.05	4.69	3513.05	3513.69	C	
4.666	5.541	3513.666	3514.541		T
5.68	6.47	3514.68	3515.47	C	
6.727	7.444	3515.727	3516.444		T
7.75	8.37	3516.75	3517.37	C	
9.08	9.74	3518.08	3518.74	C	
10.49	11.36	3519.49	3520.36	C	
13.84	14.77	3522.84	3523.77	X	
15.03	15.385	3524.03	3524.385		N
15.877	15.952	3524.877	3524.952		U
16.023	16.394	3525.023	3525.394		U
16.895	17.07	3525.895	3526.07		N
19.284	19.685	3528.284	3528.685		T
19.71	19.904	3528.71	3528.904		T
23.27	24.75	3532.27	3533.75	C	
25.53	27.57	3534.53	3536.57	C	
28.26	28.67	3537.26	3537.67	X	
73.34	77.9	3582.34	3586.9	X	
78.56	79.07	3587.56	3588.07	X	
79.94	82.31	3588.94	3591.31	C	
82.98	83.36	3591.98	3592.36	C	
91.67	93.32	3600.67	3602.32	C	
92.916	95.19	3601.916	3604.19		T
94.25	94.67	3603.25	3603.67	C	
95.33	96.83	3604.33	3605.83	C	
97.24	98.26	3606.24	3607.26	X	
98.87	100.23	3607.87	3609.23	C	
101.03	102.72	3610.03	3611.72	X	
103.89	104.91	3612.89	3613.91	X	
104.714	107.101	3613.714	3616.101		T
113.382	114.287	3622.382	3623.287		T
114.4	116	3623.4	3625	X	
118.19	125.22	3627.19	3634.22	X	
127.88	129.55	3636.88	3638.55	X	
131.15	132.25	3640.15	3641.25	X	
132.299	133.904	3641.299	3642.904		T
134.31	135.085	3643.31	3644.085	X	
135.54	137.29	3644.54	3646.29	X	
137.354	137.856	3646.354	3646.856		T
137.922	139.237	3646.922	3648.237		T
140.61	142.4	3649.61	3651.4	C	
147.42	149.36	3656.42	3658.36	X	
149.89	151.66	3658.89	3660.66	X	
152.16	154.97	3661.16	3663.97	X	
156.11	159.35	3665.11	3668.35	X	
160.35	163.14	3669.35	3672.14	X	
163.94	166.15	3672.94	3675.15	X	
166.74	168.49	3675.74	3677.49	X	
169.59	172.31	3678.59	3681.31	X	
173.13	175.26	3682.13	3684.26	X	
175.98	178.69	3684.98	3687.69	X	
179.39	181.48	3688.39	3690.48	X	
182.36	183.68	3691.36	3692.68	X	
184.74	187.45	3693.74	3696.45	X	
188.25	190.1	3697.25	3699.1	X	
194.165	195.117	3703.165	3704.117		T
194.18	194.64	3703.18	3703.64	X	
195.83	197.12	3704.83	3706.12	X	
198.23	200.37	3707.23	3709.37	R	
201.88	202.7	3710.88	3711.7	R	
202.98	205.38	3711.98	3714.38	R	
204.917	205.094	3713.917	3714.094		T
206.577	208.388	3715.577	3717.388		T
210.45	211.08	3719.45	3720.08	X	
212.03	213.19	3721.03	3722.19	X	
213.91	214.37	3722.91	3723.37	X	
214.87	217.86	3723.87	3726.86	X	
218.61	220.32	3727.61	3729.32	X	
221.1	224.59	3730.1	3733.59	X	
225.19	226.84	3734.19	3735.84	C	
227.55	229.17	3736.55	3738.17	X	
229.68	231.2	3738.68	3740.2	X	
231.78	234.15	3740.78	3743.15	X	
235	235.6	3744	3744.6	X	
236.28	236.94	3745.28	3745.94	X	
237.61	239.43	3746.61	3748.43	C	
240.41	242.99	3749.41	3751.99	C	
243.73	244.11	3752.73	3753.11	X	
247.08	247.8	3756.08	3756.8	X	
248.48	250.59	3757.48	3759.59	X	
251.46	252.13	3760.46	3761.13	X	
251.759	252.218	3760.759	3761.218		T
253.365	253.925	3762.365	3762.925	X	
254.022	254.502	3763.022	3763.502	X	
254.852	255.652	3763.852	3764.652	X	
256.102	256.662	3765.102	3765.662	X	
256.852	258.192	3765.852	3767.192	R	
260.06	261.81	3769.06	3770.81	R	
261.999	262.905	3770.999	3771.905		T
263.65	264.73	3772.65	3773.73	R	
264.309	264.766	3773.309	3773.766		T
270.83	271.84	3779.83	3780.84	C	
272.48	273	3781.48	3782	X	
273.37	273.91	3782.37	3782.91	X	
274.2	276.13	3783.2	3785.13	X	
275.777	276.163	3784.777	3785.163		T
276.94	278.13	3785.94	3787.13	X	
277.586	277.783	3786.586	3786.783		T
278.13	279.75	3787.13	3788.75	X	
279.338	281.182	3788.338	3790.182		T
281.265	282.28	3790.265	3791.28		T
283.12	285.67	3792.12	3794.67	R	
283.559	286.626	3792.559	3795.626		T
286.09	286.78	3795.09	3795.78	X	
289.24	290.406	3798.24	3799.406		T
291.34	292.26	3800.34	3801.26	R	
295.506	296.108	3804.506	3805.108		N
296.789	297.763	3805.789	3806.763		T
299.62	300.29	3808.62	3809.29	X	
