Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
94.342	95.132	14403.342	14404.132		T
96.511	97.484	14405.511	14406.484		T
106.99	107.319	14415.99	14416.319		N
108.226	108.966	14417.226	14417.966		N
109.785	110.053	14418.785	14419.053		N
111.145	113.903	14420.145	14422.903		N
115.848	116.58	14424.848	14425.58		N
117.188	117.737	14426.188	14426.737		N
119.441	120.421	14428.441	14429.421		N
123.072	124.545	14432.072	14433.545		N
124.74	124.985	14433.74	14433.985		N
125.095	125.719	14434.095	14434.719		N
126.18	127.652	14435.18	14436.652		N
129.1	131.026	14438.1	14440.026		N
131.333	133.239	14440.333	14442.239		N
137.353	139.002	14446.353	14448.002		N
139.9	140.861	14448.9	14449.861		N
141.018	141.489	14450.018	14450.489		N
148.529	148.772	14457.529	14457.772		T
149.741	153.031	14458.741	14462.031	C	
151.149	151.415	14460.149	14460.415		T
153.481	153.891	14462.481	14462.891	X	
154.3	154.977	14463.3	14463.977		T
155.13	157.252	14464.13	14466.252		T
166.631	167.551	14475.631	14476.551	X	
167.294	169.03	14476.294	14478.03		U
177.671	177.983	14486.671	14486.983		T
184.406	188.456	14493.406	14497.456	X	
189.146	190.686	14498.146	14499.686	X	
191.591	194.531	14500.591	14503.531	X	
195.471	196.365	14504.471	14505.365		T
196.276	196.996	14505.276	14505.996	X	
197.766	198.295	14506.766	14507.295		T
198.751	200.151	14507.751	14509.151	X	
200.966	201.586	14509.966	14510.586	C	
202.186	202.624	14511.186	14511.624		T
202.641	203.821	14511.641	14512.821	C	
204.186	204.757	14513.186	14513.757		T
205.82	207.87	14514.82	14516.87	C	
210.52	211.95	14519.52	14520.95	C	
212.17	213.03	14521.17	14522.03	C	
214.525	215.515	14523.525	14524.515	C	
215.537	216.16	14524.537	14525.16		T
216.304	216.772	14525.304	14525.772		T
217.435	218.572	14526.435	14527.572		T
222.802	223.303	14531.802	14532.303		T
223.334	225.723	14532.334	14534.723		T
226.255	227.665	14535.255	14536.665		T
228.446	232.221	14537.446	14541.221		T 
232.801	236.659	14541.801	14545.659		T 
237.052	239.542	14546.052	14548.542		T
240.343	242.11	14549.343	14551.11		T
245.185	245.895	14554.185	14554.895	X	
245.641	247.14	14554.641	14556.14		T
247.785	248.125	14556.785	14557.125	C	
248.417	249.438	14557.417	14558.438		T
249.828	250.755	14558.828	14559.755		T
251.376	251.834	14560.376	14560.834		T
252.259	254.839	14561.259	14563.839		T
257.171	258.556	14566.171	14567.556		T
269.53	270.98	14578.53	14579.98	X	
271.84	273.12	14580.84	14582.12	X	
273.675	276.295	14582.675	14585.295	X	
277.16	278.71	14586.16	14587.71	X	
279.65	281.25	14588.65	14590.25	X	
282.035	283.105	14591.035	14592.105	C	
282.065	282.392	14591.065	14591.392		T
286.191	288.766	14595.191	14597.766		T 
289.827	291.513	14598.827	14600.513		T 
292.656	294.787	14601.656	14603.787		T
294.902	296.965	14603.902	14605.965		T 
